index.js:11191 Adaptive Video Streaming Service by www.bitmovin.com
index.js:52632 {CMCD-Request: 'bl=39879.255,dl=39879.255,mtp=210.28,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39308.594999999994,dl=39308.594999999994,mtp=5338.75,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39874.89099999999,dl=39874.89099999999,mtp=97.02,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39714.693,dl=39714.693,mtp=5142.35,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39929.259000000005,dl=39929.259000000005,mtp=252.19,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39623.291999999994,dl=39623.291999999994,mtp=17465.18,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39857.87499999999,dl=39857.87499999999,mtp=167.68,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39631.95900000001,dl=39631.95900000001,mtp=6303.24,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39989.288000000015,dl=39989.288000000015,mtp=205.34,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39431.411000000015,dl=39431.411000000015,mtp=14079.2,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39877.628999999986,dl=39877.628999999986,mtp=98.75,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39645.57000000001,dl=39645.57000000001,mtp=14811.79,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39936.729000000014,dl=39936.729000000014,mtp=209.44,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39732.408,dl=39732.408,mtp=2940.56,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39928.768000000004,dl=39928.768000000004,mtp=226.43,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39657.453000000016,dl=39657.453000000016,mtp=6884.09,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39739.590000000004,dl=39739.590000000004,mtp=179.93,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39550.239000000016,dl=39550.239000000016,mtp=5395.31,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39756.66200000002,dl=39756.66200000002,mtp=229.62,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39155.10700000002,dl=39155.10700000002,mtp=6658.47,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39958.64800000001,dl=39958.64800000001,mtp=94.59,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39763.23400000001,dl=39763.23400000001,mtp=8220.42,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39822.288000000015,dl=39822.288000000015,mtp=232.82,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
